species,site,count,latin,纲,目,Order,科,Family,属
横带厚唇鱼,永乐环礁,6,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带厚唇鱼,永暑礁北沙洲,5,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
粗吻短带鳚,美济礁,1,Plagiotremus rhinorhynchos,辐鳍鱼纲,鲈形目,Perciformes,鳚科,Soleidae,短带鳚属
横条石斑鱼,美济礁,3,Epinephelus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,石斑鱼属
红牙鳞鲀,南扉暗沙,368,Odonus niger,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,红牙鳞鲀属
红牙鳞鲀,永暑礁北沙洲,3510,Odonus niger,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,红牙鳞鲀属
红缘丝隆头鱼,永暑礁北沙洲,1,Cirrhilabrus rubrimarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
红嘴烟鲈,漫步暗沙,1,Aethaloperca rogaa,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,烟鲈属
红嘴烟鲈,美济礁,11,Aethaloperca rogaa,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,烟鲈属
红嘴烟鲈,南扉暗沙,2,Aethaloperca rogaa,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,烟鲈属
红嘴烟鲈,七连屿,1,Aethaloperca rogaa,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,烟鲈属
红嘴烟鲈,永暑礁北沙洲,1,Aethaloperca rogaa,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,烟鲈属
狐篮子鱼,美济礁,19,Siganus vulpinus,辐鳍鱼纲,鲈形目,Perciformes,篮子鱼科,Siganidae,篮子鱼属
狐篮子鱼,永乐环礁,2,Siganus vulpinus,辐鳍鱼纲,鲈形目,Perciformes,篮子鱼科,Siganidae,篮子鱼属
弧带鹦嘴鱼,美济礁,5,Scarus dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
花斑拟鳞鲀,美济礁,3,Balistoides conspicillum,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,拟鳞鲀属
花斑拟鳞鲀,永暑礁北沙洲,1,Balistoides conspicillum,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,拟鳞鲀属
华丽蝴蝶鱼,漫步暗沙,2,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
华丽蝴蝶鱼,美济礁,57,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
华丽蝴蝶鱼,南扉暗沙,2,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
华丽蝴蝶鱼,七连屿,12,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
华丽蝴蝶鱼,永乐环礁,4,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
华丽蝴蝶鱼,永暑礁北沙洲,4,Chaetodon ornatissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
环纹细鳞盔鱼,美济礁,1,Hologymnosus annulatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,细鳞盔鱼属
环纹细鳞盔鱼,七连屿,2,Hologymnosus annulatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,细鳞盔鱼属
黄鞍鹦嘴鱼,美济礁,12,Scarus oviceps,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
黄唇裸颊鲷,漫步暗沙,1,Lethrinus xanthochilus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,裸颊鲷属
黄带拟羊鱼,永暑礁北沙洲,8,Mulloidichthys flavolineatus,辐鳍鱼纲,鲈形目,Perciformes,羊鱼科,Mullidae,拟羊鱼属
黄蝴蝶鱼,南扉暗沙,5,Chaetodon xanthurus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
黄蝴蝶鱼,七连屿,5,Chaetodon xanthurus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
黄蝴蝶鱼,永乐环礁,8,Chaetodon xanthurus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
黄蝴蝶鱼,永暑礁北沙洲,7,Chaetodon xanthurus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
蓝黄梅鲷,美济礁,65,Caesio teres,辐鳍鱼纲,鲈形目,Perciformes,梅鲷科,Caesionidae,梅鲷属
黄镊口鱼,漫步暗沙,2,Forcipiger flavissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,镊口鱼属
黄镊口鱼,美济礁,43,Forcipiger flavissimus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,镊口鱼属
黄鳍多棘鳞鲀,漫步暗沙,8,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄鳍多棘鳞鲀,美济礁,3,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄鳍多棘鳞鲀,南扉暗沙,7,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄鳍多棘鳞鲀,七连屿,21,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄鳍多棘鳞鲀,永乐环礁,4,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄鳍多棘鳞鲀,永暑礁北沙洲,10,Sufflamen chrysopterus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
黄尾刺尾鱼,美济礁,233,Acanthurus thompsoni,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
黄尾刺尾鱼,南扉暗沙,2,Acanthurus thompsoni,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
